Subfolder,INT7,EJ2,EJ1
265797,331202,1171,7516,
266117,1173227,4067,32450,
265789,832159,2943,27079,
266197,560504,1716,19806,
266034,444387,1375,16207,
265788,554913,1959,21973,
265701,464162,3440,18047,
266085,142197,1351,13859,
265700,95877,878,4827,
266187,237050,821,16571,
265713,339993,2004,7992,
266208,1167878,3810,26328,
265714,203208,1273,4450,
266196,303361,1012,12061,
265698,369772,4020,25086,
265742,644239,3951,22721,
265709,250675,1519,6552,
266081,188919,632,7962,
266086,681306,2378,22177,
265795,428360,1782,12157,
